township,admin3_pcode,pin_idp,pin_returnees,pin_stateless,pin_other,pin_total,pin_female_pc,pin_children_pc,pin_adults_pc,pin_elderly_pc,pin_pwd_pc,target_idp,target_returnees,target_stateless,target_other,target_total,target_female_pc,target_children_pc,target_adults_pc,target_elderly_pc,target_pwd_pc,state,admin1_pcode,conflict_score,mdp_adjust,priority_score
Myitkyina,MMR001001,11726,57924.03051,0,33515.97485,103166.0054,0.52,0.36,0.54,0.11,0.13,11726,0,0,0,25792,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.42746229882808573,0.243853040149874,0.33565766948897985
Waingmaw,MMR001002,26801,0,0,30337.37093,57138.37093,0.52,0.36,0.54,0.11,0.13,26801,0,0,0,14285,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.2795293479636521,0.5552062405538303,0.41736779425874115
Injangyang,MMR001003,566,38.43637276,0,328.6781097,933.1144825,0.52,0.36,0.54,0.11,0.13,566,0,0,0,233,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.013469018136451707,0.8432187890617702,0.42834390359911095
Tanai,MMR001004,1257,187.9001442,0,17343.14788,18788.04803,0.52,0.36,0.54,0.11,0.13,1257,0,0,0,4697,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.10840154132914741,0.49244878769638745,0.3004251645127674
Chipwi,MMR001005,2719,107.8867269,0,5142.916857,7969.803584,0.52,0.36,0.54,0.11,0.13,2719,0,0,0,1992,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.018785283913245653,0.7971244157307237,0.40795484982198466
Tsawlaw,MMR001006,0,211.5426743,0,1728.075947,1939.618622,0.52,0.36,0.54,0.11,0.13,0,0,0,0,0,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.005367129402459313,0.9397226437530175,0.4725448865777384
Mohnyin,MMR001007,392,101.7702311,0,62076.38809,62570.15832,0.52,0.36,0.54,0.11,0.13,392,0,0,0,15643,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.2571147702808148,0.3358867778252539,0.2965007740530343
Mogaung,MMR001008,1632,105.4421004,0,38928.30348,40665.74558,0.52,0.36,0.54,0.11,0.13,1632,0,0,0,10166,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.11776092618349834,0.326934327720402,0.22234762695195015
Hpakant,MMR001009,4359,100.280718,0,97466.93004,101926.2108,0.52,0.36,0.54,0.11,0.13,4359,0,0,0,25482,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.48525276024947883,0.21209299104279536,0.3486728756461371
Bhamo,MMR001010,9577,1078.568957,0,36846.37172,47501.94068,0.52,0.36,0.54,0.11,0.13,9577,0,0,0,11875,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.12848031974355853,0.29625157736347496,0.21236594855351676
Shwegu,MMR001011,3129,4324.974537,0,23060.93649,30514.91103,0.52,0.36,0.54,0.11,0.13,3129,0,0,0,7629,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.15998816482774336,0.42959581598532537,0.29479199040653437
Momauk,MMR001012,25099,1232.948351,0,10912.9863,37244.93466,0.52,0.36,0.54,0.11,0.13,25099,0,0,0,9311,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.43096447498412116,0.44925135183251214,0.4401079134083167
Mansi,MMR001013,14244,0,0,12023.38159,26267.38159,0.52,0.36,0.54,0.11,0.13,14244,0,0,0,6567,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.13898318007895977,0.37011464469518535,0.25454891238707256
Puta-O,MMR001014,498,0,0,18044.14924,18542.14924,0.52,0.36,0.54,0.11,0.13,498,0,0,0,4636,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.10887108445735481,0.5007010648533947,0.3047860746553748
Sumprabum,MMR001015,1203,0,0,442.4496261,1645.449626,0.52,0.36,0.54,0.11,0.13,1203,0,0,0,411,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.04137947799336407,0.43534809447833767,0.23836378623585086
Machanbaw,MMR001016,0,0,0,2635.953015,2635.953015,0.52,0.36,0.54,0.11,0.13,0,0,0,0,659,0.52,0.36,0.54,0.11,0.13,Kachin,MMR001,0.0020903843624037284,0.5067514685371441,0.25442092644977393
