Variable Name,Variable Label,Answer Label,Answer Code,Variable Type
hhid,Household ID,Open ended,,long
hhweight,Household Weight,Open ended,,Numeric
ppweight,Population Weight,Open ended,,Numeric
adweight,Adult Population Weight,Open ended,,Numeric
a_02,A.02. Enumerator name and code,Open ended,,Numeric
a_04,A.04. Interview Date,Open ended,,Numeric
b_01,B.01. Are you between 18 years and 74 years old?,,,Numeric
,,Yes,1,
,,No,2,
b_02,B.02. Do you agree to participate in this interview?,,,Numeric
,,Yes,1,
,,No,2,
b_04,B.04. Are you male or female?,,,Numeric
,,Male,1,
,,Female,2,
b_05,B.05. How old are you? (in years),Open ended,,Numeric
b_06,B.06. Which State/Region do you live in?,,,Integer
,,Kachin,1,
,,Kayah,2,
,,Kayin,3,
,,Chin,4,
,,Sagaing,5,
,,Tanintharyi,6,
,,Bago,7,
,,Magway,8,
,,Mandalay,9,
,,Mon,10,
,,Rakhine,11,
,,Yangon,12,
,,Ayeyawady,14,
,,Nay Pyi Taw,15,
,,Shan (North),131,
,,Shan (East),132,
,,Shan (South),133,
b_07,B.07. Do you live in a village tract (rural) or ward (urban)?,,,Numeric
,,village tract (rural),1,
,,ward (urban),2,
b_08,B.08. What is the highest level of education that you have completed?,,,Numeric
,,None,0,
,,Grade 1(Standard 0),1,
,,Grade 2(Standard 1),2,
,,Grade 3(Standard 2),3,
,,Grade 4(Standard 3),4,
,,Grade 5(Standard 4),5,
,,Grade 6(Standard 5),6,
,,Grade 7(Standard 6),7,
,,Grade 8(Standard 7),8,
,,Grade 9(Standard 8),9,
,,Grade 10(Standard 9),10,
,,Grade 11(Standard 10),11,
,,THS – Technical high school (After Std 8),12,
,,Teachers Certificate (After Std 10),13,
,,"TVET Diploma (GTI, GTC etc.)",14,
,,Undergraduate/Community College Diploma,15,
,,Bachelor Graduate,16,
,,Postgraduate Diploma,17,
,,Master’s Degree,18,
,,Ph D,19,
,,Monastery/Religious School,20,
,,KG Completed (2016-17 new system),21,
,,Other (….Specify),9999,
b_09,B.09. Did any member of your household harvest any crops in the past 12 months? ,,,Numeric
,,Yes,1,
,,No,2,
c_01,C.01. How many children between 0 and 4 years of age live in this household?,Open ended,,Numeric
c_02,C.02. How many children between 5 and 14 year old live in this household?,Open ended,,Numeric
c_03,C.03. How many female adults live in your household aged 15-64? Please include y,Open ended,,Numeric
c_04,C.04. How many male adults live in your household aged 15-64? Please include you,Open ended,,Numeric
c_05,C.05. How many female adults live in your household aged 65 years or older? Plea,Open ended,,Numeric
c_06,C.06. How many male adults live in your household aged 65 years or older? Please,Open ended,,Numeric
c_07,C.07. What is your relationship to the household head?,,,Numeric
,,head,1,
,,spouse,2,
,,son / daughter,3,
,,son-in-law / daughter-in-law,4,
,,grandchild / great grand child,5,
,,parent / parent-in-law,6,
,,brother or sister,7,
,,grand-parent,8,
,,"adopted, foster or stepchild",9,
,,other relative,10,
,,domestic worker,11,
,,not related,12,
c_08,C.08. What is your marital status?,,,Numeric
,,single,1,
,,married,2,
,,widowed,3,
,,divorced/separated,4,
d_01,Numeric township code ,,,long
d_04,d.04 How long have you lived in this village tract/ ward?___in years,Open ended,,Numeric
d_05,d.05 Can you tell us the month and year in which you moved to this current villa,Open ended,,Numeric
d_06,D.06. In which State/Region was your previous (most recent) residence?,Open ended,,String
d_06_oth,D.06. abroad (specify country) English,,,Numeric
,,America,1,
,,Thailand,2,
d_07,D.07. In which township was your previous (most recent) residence?,Open ended,,String
d_08,D.08. Was your previous (most recent) residence in a rural area or urban area?,,,Numeric
,,rural,1,
,,urban,2,
d_09_01,d_09_01.Employment of respondent: insufficient work or income in previous locati,,,Numeric
,,Yes,1,
,,No,2,
d_09_02,d_09_02.Employment of respondent:job opportunity in current location,,,Numeric
,,Yes,1,
,,No,2,
d_09_03,d_09_03.Employment of other household members:insufficient work or income in pre,,,Numeric
,,Yes,1,
,,No,2,
d_09_04,d_09_04.Employment of other household members: job opportunity in current locati,,,Numeric
,,Yes,1,
,,No,2,
d_09_05,"d_09_05.Reasons for relocation:Employment: other, related to employment",,,Numeric
,,Yes,1,
,,No,2,
d_09_06,d_09_06.Education opportunities,,,Numeric
,,Yes,1,
,,No,2,
d_09_07,d_09_07.Marriage,,,Numeric
,,Yes,1,
,,No,2,
d_09_08,d_09_08.To give support to family,,,Numeric
,,Yes,1,
,,No,2,
d_09_09,d_09_09.To get support from family,,,Numeric
,,Yes,1,
,,No,2,
d_09_10,d_09_10.Avoid conflict / improve physical security,,,Numeric
,,Yes,1,
,,No,2,
d_09_11,d_09_11.Reduce risk of contracting COVID-19,,,Numeric
,,Yes,1,
,,No,2,
d_09_99,d_09_99.other (specify),,,Numeric
,,Yes,1,
,,No,2,
d_09_oth,D.09. Other Specify (English),,,Numeric
,,We Bought a house/ we bought a new house/ We just got our own house,12,
,,To stay close with our friends,13,
,,Because city development committee no longer lease the land,14,
,,Since the house rent is due,15,
,,Because the house was sold,16,
,,Since the previous house was damaged by fire,17,
,,Due to the HEALTH (as the current place is close to clinic and hospital),18,
,,Due to a DIVORCE,19,
,,Had to move from staff housing as I am CDMer,20,
,,Since the illegal hosues were destoryed,21,
d_10,D.10. For how long do you plan to stay in your current village tract/ward?,,,Integer
,,One month or less,1,
,,1-6 months,2,
,,More than 6 months,3,
,,Permanently,4,
,,Don’t know,9998,
e_01,E.01. What type of dwelling do you currently live in?,,,Integer
,,wooden house,1,
,,bamboo house (lifespan of house is > 3 years),2,
,,semi-pucca house (mix brick-wood),3,
,,bungalow/ brick house,4,
,,apartment/ condominium,5,
,,hut (2-3 years),6,
,,hut (1 year),7,
,,other (specify),9999,
e_01_oth,E.01. Other (specify) English,,,Numeric
,,Container Home,8,
e_02,"E.02. Is the dwelling owned, rented, or provided free by a company or individual",,,Numeric
,,owned,1,
,,rented,2,
,,"provided free (from relative, individual,company or government)",3,
,,squatter,4,
,,IDP camp / temporary shelter,5,
,,other (specify),9999,
e_03,"E.03 Does your dwelling have a floor made from wood, carpet, tile, vinyl or othe",,,Numeric
,,Yes,1,
,,No,2,
e_04,"E.04. How many rooms do the members of your household occupy, including bedrooms",Open ended,,Numeric
e_05,E.05. What is your current main source of drinking water?,,,Integer
,,piped into dwelling/ yard,1,
,,public tap/standpipe,2,
,,tube well or borehole,3,
,,protected well or spring or pond,4,
,,rainwater,5,
,,bottled water / sachets,6,
,,unprotected well or spring or pond,7,
,,tanker truck or cart with small tank,8,
,,surface water,9,
,,Water purifier machine,10,
,,Other(specify),9999,
e_05_oth,E.05. Other Specify (English),,,Numeric
,,Public water purifier/ Have to go and get water from the water purifier provided by the factory,10,
