District, Township ,Township Pcode,"internally displaced
people (IDP) -PiN","IDPs: returnees/resettled/
locally integrated -PiN","non-displaced stateless
people in Rakhine -PiN","Mostly vulnerable
crisis-affected people -PiN",Total PiN,Non-IDP,Female %,Children (Age <18) %,Adults (Age 18 -60) %,Elderly (Age 60+) %,People with disabilities %,"internally displaced
people (IDP) -target","IDPs: returnees/resettled/
locally integrated -target","non-displaced stateless
people in Rakhine -target","Mostly vulnerable
crisis-affected people -target",Total target,IDP Target > Total Target,Female % ,Children (Age <18) % ,Adults (Age 18 -60) % ,Elderly (Age 60+) % ,"Mostly vulnerable
crisis-affected people -target2",%IDP,%Returnees,%Rakhine Stateless,%Other Vulnerable,%Target,SO1 Target,SO2 Target,SO3 Target,IDP_SO1,Returnees_SO1,Rakhine Stateless_SO1,Other Vulnerable_SO1,IDP_SO2,Returnees_SO2,Rakhine Stateless_SO2,Other Vulnerable_SO2,IDP_SO3,Returnees_SO3,Rakhine Stateless_SO3,Other Vulnerable_SO3
Hinthada,Hinthada,MMR017008,0,0,0,102514.909,102514.909,102514.909,52,36,54,11,13,0,,,,13327,Not,52,36,54,11,13,,0,0,100,0.003250488,1807.27122,9569.436098,2762.914634,0,0,0,1807.27122,0,0,0,9569.436098,0,0,0,2762.914634
Hinthada,Ingapu,MMR017013,0,0,0,64938.78071,64938.78071,64938.78071,52,36,54,11,13,0,,,,8442,Not,52,36,54,11,13,,0,0,100,0.002059024,1144.817561,6061.767805,1750.170732,0,0,0,1144.817561,0,0,0,6061.767805,0,0,0,1750.170732
Hinthada,Kyangin,MMR017012,0,0,0,29104.3775,29104.3775,29104.3775,52,36,54,11,13,0,,,,3784,Not,52,36,54,11,13,,0,0,100,0.000922927,513.1473171,2717.096585,784.4878049,0,0,0,513.1473171,0,0,0,2717.096585,0,0,0,784.4878049
Hinthada,Lemyethna,MMR017010,0,0,0,31206.86686,31206.86686,31206.86686,52,36,54,11,13,0,,,,4057,Not,52,36,54,11,13,,0,0,100,0.000989512,550.1687805,2913.123902,841.0853659,0,0,0,550.1687805,0,0,0,2913.123902,0,0,0,841.0853659
Hinthada,Myanaung,MMR017011,0,0,0,66210.08856,66210.08856,66210.08856,52,36,54,11,13,0,,,,8607,Not,52,36,54,11,13,,0,0,100,0.002099268,1167.193171,6180.245854,1784.378049,0,0,0,1167.193171,0,0,0,6180.245854,0,0,0,1784.378049
Hinthada,Zalun,MMR017009,0,0,0,50950.15361,50950.15361,50950.15361,52,36,54,11,13,0,,,,6624,Not,52,36,54,11,13,,0,0,100,0.00161561,898.2790244,4756.355122,1373.268293,0,0,0,898.2790244,0,0,0,4756.355122,0,0,0,1373.268293
Labutta,Labutta,MMR017016,0,0,0,95482.27749,95482.27749,95482.27749,52,36,54,11,13,0,,,,12413,Not,52,36,54,11,13,,0,0,100,0.003027561,1683.323902,8913.139512,2573.426829,0,0,0,1683.323902,0,0,0,8913.139512,0,0,0,2573.426829
Labutta,Mawlamyinegyun,MMR017018,0,0,0,94307.59752,94307.59752,94307.59752,52,36,54,11,13,0,,,,12260,Not,52,36,54,11,13,,0,0,100,0.002990244,1662.57561,8803.278049,2541.707317,0,0,0,1662.57561,0,0,0,8803.278049,0,0,0,2541.707317
Maubin,Danubyu,MMR017022,0,0,0,54327.58572,54327.58572,54327.58572,52,36,54,11,13,0,,,,7063,Not,52,36,54,11,13,,0,0,100,0.001722683,957.8117073,5071.578537,1464.280488,0,0,0,957.8117073,0,0,0,5071.578537,0,0,0,1464.280488
Maubin,Maubin,MMR017019,0,0,0,95141.50519,95141.50519,95141.50519,52,36,54,11,13,0,,,,12368,Not,52,36,54,11,13,,0,0,100,0.003016585,1677.221463,8880.827317,2564.097561,0,0,0,1677.221463,0,0,0,8880.827317,0,0,0,2564.097561
Maubin,Nyaungdon,MMR017021,0,0,0,65399.80777,65399.80777,65399.80777,52,36,54,11,13,0,,,,8502,Not,52,36,54,11,13,,0,0,100,0.002073659,1152.954146,6104.850732,1762.609756,0,0,0,1152.954146,0,0,0,6104.850732,0,0,0,1762.609756
Maubin,Pantanaw,MMR017020,0,0,0,80148.43282,80148.43282,80148.43282,52,36,54,11,13,0,,,,10419,Not,52,36,54,11,13,,0,0,100,0.00254122,1412.918049,7481.350244,2160.036585,0,0,0,1412.918049,0,0,0,7481.350244,0,0,0,2160.036585
Myaungmya,Einme,MMR017015,0,0,0,58794.88336,58794.88336,58794.88336,52,36,54,11,13,0,,,,7643,Not,52,36,54,11,13,,0,0,100,0.001864146,1036.465366,5488.046829,1584.52439,0,0,0,1036.465366,0,0,0,5488.046829,0,0,0,1584.52439
Myaungmya,Myaungmya,MMR017014,0,0,0,90459.74819,90459.74819,90459.74819,52,36,54,11,13,0,,,,11760,Not,52,36,54,11,13,,0,0,100,0.002868293,1594.770732,8444.253659,2438.04878,0,0,0,1594.770732,0,0,0,8444.253659,0,0,0,2438.04878
Myaungmya,Wakema,MMR017017,0,0,0,87572.72528,87572.72528,87572.72528,52,36,54,11,13,0,,,,11384,Not,52,36,54,11,13,,0,0,100,0.002776585,1543.781463,8174.267317,2360.097561,0,0,0,1543.781463,0,0,0,8174.267317,0,0,0,2360.097561
Pathein,Kangyidaunt,MMR017002,0,0,0,53914.72115,53914.72115,53914.72115,52,36,54,11,13,0,,,,7009,Not,52,36,54,11,13,,0,0,100,0.001709512,950.4887805,5032.803902,1453.085366,0,0,0,950.4887805,0,0,0,5032.803902,0,0,0,1453.085366
Pathein,Kyaunggon,MMR017007,0,0,0,49384.7214,49384.7214,49384.7214,52,36,54,11,13,0,,,,6420,Not,52,36,54,11,13,,0,0,100,0.001565854,870.6146341,4609.873171,1330.97561,0,0,0,870.6146341,0,0,0,4609.873171,0,0,0,1330.97561
Pathein,Kyonpyaw,MMR017005,0,0,0,71403.76129,71403.76129,71403.76129,52,36,54,11,13,0,,,,9282,Not,52,36,54,11,13,,0,0,100,0.002263902,1258.729756,6664.92878,1924.317073,0,0,0,1258.729756,0,0,0,6664.92878,0,0,0,1924.317073
Pathein,Ngapudaw,MMR017004,0,0,0,98287.51505,98287.51505,98287.51505,52,36,54,11,13,0,,,,12777,Not,52,36,54,11,13,,0,0,100,0.003116341,1732.685854,9174.509268,2648.890244,0,0,0,1732.685854,0,0,0,9174.509268,0,0,0,2648.890244
