ims_farmer,ims_other,ims_public_em,ims_stable_ag,ims_stable_non_ag,ims_casual_ag,ims_casual_non_ag,ims_prof_self_em,ims_no_income,shocks_conflict,shocks_naturalhazard,shocks_lostwork,shocks_foodprices,shocks_cantworkbusiness,shocks_accesseconomy,no_accessmarket,edu_higher,edu_secondary,edu_primary,edu_low,rural,children_0_4,hoh_female,fies_ateless,fies_fewfoods,fies_healthy,fies_hungry,fies_worried,fies_ranout,fies_whlday,fies_skipped,fcs_stap,fcs_pulse,fcs_dairy,fcs_pr,fcs_veg,fcs_fruit,fcs_fat,fcs_sugar,fcs_borderline_poor,cs_stress_hh_assets,cs_stress_spent_savings,cs_stress_credit,cs_stress_borrowed_money,cs_crisis_sold_prod_assets,cs_crisis_no_school,cs_crisis_reduced_health_exp,cs_crisis_childwork,cs_crisis_consumed_seed_stocks,cs_emergency_sold_house,cs_emergency_hh_risk,cs_emergency_sold_last_draught,cs_emergency_hh_migration,hh_debt_more,survey_id,agri_hhd,hh_size,not_improved_drinking_water,tot_income,income_reduced,covid_goodstransp,covid_marketclosed
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0.14285714285714285,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,U-1009472287353445629,0,6,0,200000,0.3333333333333333,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,1,0,0,0.42857142857142855,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-142172181595088758,0,4,0,200000,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.8571428571428571,1,0.42857142857142855,0,0.2857142857142857,0,0.5714285714285714,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,U-1469065149487290333,0,3,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.5714285714285714,1,0.2857142857142857,0,0,0.42857142857142855,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,U-2672578116932037750,0,0,0,900000,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5714285714285714,1,0.14285714285714285,0.7142857142857143,0.5714285714285714,0,0.7142857142857143,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,U-2689453629732346698,0,4,0,150000,0.6666666666666666,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.7142857142857143,0,0.7142857142857143,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,U-2697784498239048624,0,2,0,50000,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-2777887401654255675,0,4,0,240000,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.42857142857142855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U-2988393443883864343,0,2,0,180000,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0.5714285714285714,0.2857142857142857,0.7142857142857143,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,U-3303982246428027753,1,4,0,180000,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.14285714285714285,0,0.42857142857142855,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,U-3333841513539741814,0,2,0,200000,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0.5714285714285714,1,0.42857142857142855,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,U-3513222365282475559,0,9,1,250000,0.6666666666666666,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.8571428571428571,1,0,0,0.8571428571428571,0,0.42857142857142855,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,U-3724358492347412162,0,4,0,200000,0.3333333333333333,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.7142857142857143,0.14285714285714285,0,0.5714285714285714,0.2857142857142857,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,U-396254363400163395,0,7,0,0,0.3333333333333333,0,0
